gisid	bbox
155-38	759019,2964901,759282,2965177
101-85	761163,2956856,761422,2957113
113-64	762825,2960688,763178,2961005
181-52	758169,2967585,758507,2967915
246A-37	752793,2962025,753068,2962296
172-59	757706,2963001,758118,2963398
112-33	762736,2961433,763030,2961728
115-83	761856,2960569,762130,2960854
127-131	761138,2957052,761410,2957325
81-50	765792,2961057,766182,2961379
10-32	769762,2959114,770110,2959526
187-75	753455,2970459,753766,2970789
223-50	755411,2962989,755710,2963277
127-94	761148,2957344,761456,2957662
102-134	761582,2956267,761874,2956609
226-44	755879,2963611,756226,2963922
267B-191	749070,2968390,749378,2968669
98-28	761564,2955190,761862,2955475
147-46	760740,2963608,761231,2964106
76-105	765142,2958804,765420,2959094
236-96	753812,2962696,754178,2962990
39-109	766845,2959700,767116,2960010
27-73	768723,2959195,768992,2959447
183-77	756608,2969693,756870,2969959
224-7	756583,2963504,756906,2963834
146A-117	761586,2963247,761904,2963580
181-47	758402,2967683,758774,2968043
201-20	757471,2966371,757771,2966648
121-88	760678,2959523,760948,2959820
100-35	760500,2955784,760822,2956114
70-51	764847,2956950,765192,2957254
125-102	761426,2957473,761713,2957788
104-53	761761,2957320,762033,2957601
127-44	760930,2957103,761208,2957378
214-56	757580,2963683,757864,2963990
34-148	767611,2960496,767836,2960724
139-61	762195,2961283,762518,2961590
165-54	757438,2960739,757859,2961187
127-119	760568,2956877,760917,2957216
155-7	759389,2964841,759660,2965156
114-7	763159,2960641,763500,2960958
186-30	754715,2971199,755015,2971480
214-5	757669,2963725,757957,2964041
227-10	756019,2964558,756294,2964836
234-195	753367,2964402,753655,2964692
210-76	757313,2966023,757586,2966329
70-91	764528,2957238,764857,2957524
93-28	763043,2957088,763355,2957410
37-19	767166,2960727,767438,2960980
200-100	757452,2966660,759026,2967273
208-9	756852,2964900,757125,2965184
256-35	749675,2963037,749955,2963357
85-87	765133,2960895,765393,2961146
140-146	761663,2962294,761928,2962529
87-151	764258,2960388,764547,2960649
224-2	756325,2963396,756626,2963703
40-60	766470,2959442,766714,2959699
118-64	762736,2959041,763073,2959345
203A-66	755313,2967180,755565,2967420
39-112	766857,2959563,767111,2959854
153-28	759664,2965544,759945,2965893
177-66	758326,2966380,758658,2966655
154-121	759185,2965304,759552,2965558
84-66	764524,2961134,764796,2961389
262-63	754204,2965672,754505,2965954
179-77	758935,2967380,759231,2967671
201.5-13	756921,2966303,757218,2966616
234-18	753315,2964033,753608,2964303
39-167	766861,2959931,767108,2960196
175-84	758714,2964875,759011,2965157
80-147	765615,2960896,765941,2961245
220-185	756280,2961967,756549,2962267
75-102	764511,2957966,764836,2958219
105-115	762051,2957725,762333,2958017
126-128	760782,2957913,761035,2958198
