gisid	bbox
127-49	760897,2956950,761174,2957223
102-29	761451,2955984,761722,2956261
113-43	763340,2961184,763634,2961463
135-85	761259,2960823,761566,2961155
208-16	756852,2964711,757385,2965183
101-23	760788,2956408,761051,2956665
145-46	760791,2962763,761149,2963093
25-135	768186,2960015,768438,2960238
24-70	769118,2960086,769419,2960332
221-43	755738,2961828,756004,2962112
105-120	762552,2958031,762831,2958294
255-79	750036,2962472,750319,2962753
194-45	755156,2967697,755454,2967950
233-137	754196,2964319,754479,2964574
182-32	757303,2968475,757616,2968793
100-90	760776,2955647,761063,2955928
100-93	760697,2955770,760920,2955996
218-10	756806,2962956,757112,2963267
228-25	755784,2965439,756056,2965727
103-108	762377,2957327,762640,2957597
142-47	761260,2962323,761590,2962602
98-6	761046,2954941,761355,2955241
102-26	761407,2956020,761751,2956381
209-56	757240,2965792,757517,2966080
23-95	768905,2960281,769170,2960589
271-26	754922,2967286,755195,2967523
214-6	757705,2963744,758000,2964064
125-108	761975,2958037,762241,2958344
253-53	750772,2962824,751032,2963116
194-52	755361,2968258,755664,2968511
222-21	755096,2962343,755414,2962668
238-57	754440,2962963,754751,2963400
233-143	754331,2964423,754615,2964680
101-136	760719,2956258,760999,2956541
100-23	760416,2955876,760671,2956154
76-49	765398,2958824,765685,2959118
22-128	768932,2961111,769283,2961528
75-29	764691,2958708,764971,2958961
147-60	761221,2964071,761547,2964406
43-63	766954,2957393,767310,2957983
87-42	764437,2960540,764687,2960786
118-49	762920,2959491,763194,2959748
182-11	756807,2969132,757116,2969451
85-48	765000,2960449,765303,2960712
204-137	756478,2966487,756774,2966763
125-62	761763,2958010,762045,2958268
135-125	761638,2960854,761896,2961092
186-78	755196,2971262,755479,2971560
201-127	757737,2966647,757994,2966945
26-92	768616,2959315,768862,2959617
122-22	760737,2958150,761028,2958401
237-72	754234,2963964,754495,2964278
193-103	754907,2968761,755226,2969012
33-78	767895,2960099,768137,2960359
117-45	762555,2959608,762854,2959889
233-189	753588,2964791,753887,2965124
88-54	763772,2959439,764102,2959737
198-6	756861,2968031,757144,2968273
124-25	761833,2958188,762098,2958494
36-168	766386,2960979,766621,2961241
267B-222	748702,2967863,749005,2968123
123-41	761264,2958154,761520,2958394
101-198	761439,2956480,761750,2956785
180-31	758619,2967983,758954,2968319
250-208	752413,2962043,752742,2962343
217-14	756863,2962653,757446,2963152
191-42	755679,2969758,755949,2969993
188-142	754227,2970624,754538,2970864
142-141	761325,2962205,761568,2962469
210-80	757352,2965800,757642,2966066
192-38	756068,2969524,756387,2969836
199-123	757039,2967324,757299,2967591
193-120	755371,2969193,755613,2969468
116-28	762095,2959936,762395,2960254
135-129	761615,2960793,761867,2961030
85-31	765216,2960934,765521,2961203
135-19	760826,2960555,761150,2960886
1A-191	770835,2960371,771963,2961047
149-60	760890,2964275,761175,2964565
39-61	766681,2959841,766954,2960153
267C-88	749398,2968381,749687,2968711
14-45	769264,2957900,769742,2958340
149-11	760198,2964189,760484,2964505
146A-28	761307,2963015,761652,2963360
220-143	755995,2962638,756262,2962994
26-128	768231,2959377,768491,2959681
91-17	764238,2958205,764643,2958524
242A-126	753361,2960574,753689,2960870
198-94	756818,2968033,757065,2968357
184-112	755775,2970384,756048,2970650
93-60	763494,2957609,763759,2957879
233-59	754115,2964319,754402,2964581
200-22	757778,2967579,758094,2967916
231-9	754938,2963655,755336,2963955
100-4	760382,2955716,760683,2956071
65-54	761714,2954923,762015,2955213
230-50	755254,2964422,755574,2964724
123-44	761253,2958253,761557,2958500
216-33	757037,2963112,757401,2963481
111-6	762639,2961968,762924,2962227
127-81	761185,2957100,761452,2957368
249-58	752330,2963251,752674,2963550
122-24	760851,2958068,761102,2958367
260-56	753923,2965198,754237,2965496
196-158	756007,2968452,756276,2968739
262-153	754562,2965870,754822,2966183
188-41	754225,2970824,754534,2971104
94-52	762832,2956787,763113,2957079
266-32	747999,2963767,750859,2967707
111-8	762623,2961879,762908,2962135
193-114	755222,2969285,755452,2969535
135-53	761604,2960559,761895,2960852
181-84	758113,2967938,758407,2968231
175-29	758317,2964980,758624,2965277
186-31	754736,2971237,755036,2971517
53-61	766074,2957059,766784,2957571
94-135	762510,2956282,762735,2956512
156-55	758994,2963950,759246,2964275
98-63	761225,2954958,761483,2955212
238-44	754384,2962708,754716,2963055
24-78	769366,2960050,769628,2960358
30-41	767199,2958433,767788,2958855
191-77	755536,2969385,755767,2969648
185-10	755079,2971572,755376,2971875
79-100	765255,2960065,765562,2960325
154-72	759020,2965317,759282,2965561
215-41	757041,2963799,757405,2964158
196-91	756615,2968504,756917,2968799
180-13	758220,2968302,758540,2968630
142-74	760968,2962479,761243,2962781
96-14	762177,2955007,762473,2955298
114A-101	763791,2961064,764091,2961342
227-33	755933,2964607,756212,2964881
233-174	753538,2964534,753917,2964825
255-77	750003,2961870,750256,2962129
183-55	756777,2969493,757060,2969781
97-28	761784,2955738,762136,2956102
55-26	764160,2955845,764818,2956401
133-26	760273,2960253,760528,2960530
179-87	758802,2966799,759697,2967649
209-43	757412,2965052,757709,2965366
89-44	764429,2958580,764694,2958864
173-15	758374,2963900,758655,2964192
139-46	761999,2961092,762274,2961345
26-140	768392,2959412,768644,2959678
267A-252	748612,2968340,748898,2968629
107-19	762948,2959087,763317,2959446
150-95	760232,2964645,760468,2964910
146-10	761044,2963086,761376,2963403
150-132	760107,2964744,760351,2965008
99-63	760622,2955130,760912,2955432
236-76	753703,2962560,754060,2962861
107-93	763095,2959128,763377,2959384
169-95	758462,2961993,758765,2962295
116-31	762001,2959827,762351,2960125
27-1	768072,2959311,768323,2959557
194-7	755136,2968095,755437,2968403
184-3	755644,2971171,755943,2971464
195-59	755761,2968348,756027,2968671
227-87	756172,2964814,756591,2965190
194-69	755280,2967965,755577,2968207
97-34	761945,2955428,762255,2955736
205-29	756064,2965580,756332,2965867
215-62	757299,2963333,757568,2963609
36-161	766901,2961180,767150,2961464
93-119	763172,2957382,763455,2957677
191-26	755443,2969443,755765,2969693
176-18	758589,2965692,758859,2966026
33-101	768021,2960006,768260,2960254
173-51	758204,2963551,758501,2963881
93-126	763228,2957115,763519,2957413
75-89	764944,2958572,765255,2958866
212-4	758002,2964703,758326,2965007
117-46	762538,2959584,762839,2959866
86-31	764527,2959435,764821,2959774
190-86	755076,2969654,755318,2969919
125-3	761379,2957966,761642,2958271
94-21	762491,2956797,762764,2957069
135-119	761460,2960808,761763,2961104
150-50	760178,2964459,760420,2964751
267C-53	749334,2968398,749606,2968700
242A-47	753663,2961349,753942,2961639
20-103	769691,2960748,770015,2961048
174-82	758282,2964279,758557,2964540
34-79	767901,2960322,768136,2960609
26-103	768188,2959487,768435,2959791
19-44	769722,2959383,769961,2959633
79-14	765193,2960280,765498,2960552
254-39	750500,2961862,750822,2962124
192-167	756185,2969441,756486,2969752
192-100	755968,2969001,756246,2969272
267D-286	750081,2967360,750388,2967757
39-179	766723,2959276,767152,2959736
235-61	753346,2962936,753587,2963224
232-32	754662,2963795,754989,2964048
94-122	762250,2956387,762524,2956664
271-25	754923,2967248,755190,2967489
114A-23	763423,2960866,763727,2961147
190-234	755353,2969790,755595,2970054
219-8	756964,2962120,757389,2962485
135-120	761425,2960715,761724,2961019
125-78	761510,2957437,761804,2957717
150-25	760068,2964745,760309,2965010
188-139	754189,2970824,754426,2971124
40-252	766572,2959504,766839,2959772
146A-96	761787,2962871,762068,2963198
25-2	768276,2960258,768514,2960541
87-110	764185,2959868,764501,2960153
220-180	756346,2961906,756681,2962185
124-42	761461,2958761,761732,2959045
121-75	760581,2959213,760840,2959477
198-74	756984,2968094,757241,2968370
91-64	764433,2957634,764665,2957940
80-125	765836,2960856,766106,2961097
36-246	767187,2961034,767439,2961268
266-12	748336,2964823,748683,2965150
129-47	759853,2957518,760388,2958118
149-90	760705,2964110,760980,2964387
24-132	769147,2959733,769397,2960035
37-117	767062,2960548,767357,2960822
191-23	755511,2969508,755775,2969745
126-1	760443,2957900,760695,2958159
267D-293	750182,2967927,750615,2968261
17-33	769396,2959309,769658,2959554
102-89	761714,2956375,762014,2956684
225-46	756176,2963814,756462,2964153
78-249	765794,2960255,766112,2960539
112-7	762430,2961073,762716,2961371
105-95	762147,2957653,762422,2957941
226-10	755490,2964091,755805,2964439
91-68	764357,2957638,764613,2957919
175-57	758239,2964787,758578,2965092
162-69	758528,2960799,758869,2961153
23-28	768907,2960654,769164,2960959
133-33	760354,2960063,760743,2960412
93-121	763439,2957632,763731,2957916
91-79	764219,2957922,764543,2958250
267B-15	748571,2967976,748878,2968237
151-7	760015,2965234,760331,2965574
141-41	762293,2962666,762557,2962925
246A-48	753050,2961848,753347,2962093
212-28	758003,2964068,758301,2964379
236-7	753558,2963076,753915,2963406
126-11	760530,2957660,760769,2957935
110-65	764085,2960420,764444,2960768
140-49	762541,2962123,762829,2962378
79-2	765075,2960269,765387,2960544
172-29	758232,2962805,758580,2963198
142-175	761101,2962147,761396,2962424
249-53	752280,2963500,752609,2963780
178-80	758634,2966861,758899,2967132
190-279	755001,2970035,755226,2970324
79-63	765494,2960011,765784,2960273
189-81	755253,2970358,755525,2970596
102-45	761320,2955913,761654,2956255
173-27	757981,2963834,758254,2964092
94-126	762377,2956284,762650,2956562
196-100	756511,2968477,756807,2968749
87-76	764437,2960023,764753,2960319
39-126	767097,2959503,767333,2959843
154-35	759397,2965389,759686,2965638
123-18	761478,2958346,761786,2958644
123-52	761214,2958582,761518,2958829
182-27	757243,2968789,757550,2969111
267.4-291	751868,2968980,752452,2969673
182-83	757426,2968212,757729,2968515
142-137	761251,2962285,761495,2962542
260-46	753044,2965631,753481,2966192
193-77	755013,2969114,755336,2969369
233-107	753688,2964713,753996,2965006
255-34	749627,2962071,749920,2962321
184-193	755621,2970340,755911,2970644
87-147	764471,2960483,764740,2960743
248-83	752597,2964444,752856,2964727
266-36	747883,2965826,748235,2966158
266-39	752763,2965078,753184,2966344
17-6	769159,2959318,769456,2959628
112-125	762550,2960598,762904,2960917
110-90	764073,2960277,764353,2960559
182-81	757509,2968287,757797,2968577
78-141	765941,2959196,766219,2959467
262-10	754688,2965806,754997,2966083
96-129	761859,2955109,762154,2955389
101-179	760628,2956205,760897,2956467
230-20	754870,2964461,755242,2964795
110-22	764101,2960980,764370,2961232
242A-161	753914,2960819,754223,2961159
226-65	755669,2963440,756099,2963904
150-92	759965,2964665,760202,2964921
155-28	759181,2964592,759539,2964903
234-180	753387,2964313,753679,2964620
254-17	750100,2962745,750379,2963009
25-122	768556,2960241,768800,2960495
194-37	755384,2967776,755684,2968013
108-3	762994,2960109,763241,2960377
23-61	768510,2960467,768764,2960756
92-126	763388,2956514,763855,2956981
104-119	761706,2957386,761976,2957658
176-92	758378,2965500,758673,2965762
130-94	760382,2959062,760683,2959306
222-11	755502,2962471,755807,2962768
234-102	753386,2964229,753651,2964518
267.2-263	748953,2969428,752648,2970624
86-70	764934,2959674,765182,2959951
242A-145	753551,2961644,753815,2961895
191-53	755615,2969462,755878,2969712
154-44	759648,2964989,759909,2965284
67-59	763889,2956099,764143,2956341
83-35	764402,2961311,764672,2961585
---	755118,2962337,755498,2962600
181-27	758104,2967790,758382,2968070
82-39	765111,2961467,765402,2961740
190-134	755281,2969465,755513,2969740
225-11	756503,2963616,756764,2963910
176-44	758481,2965538,758788,2965817
250-169	752245,2962507,752542,2962804
231-40	755300,2964005,755655,2964288
106-33	762797,2957410,763082,2957704
93-51	763237,2957710,763508,2957973
169-47	758419,2961317,758776,2961642
36-85	767301,2961172,767574,2961412
261-202	753268,2966026,753520,2966269
34-2	767609,2960639,767848,2960907
125-45	762092,2958094,762332,2958356
247-109	753119,2962738,753452,2963014
211-17	757614,2965177,757939,2965485
255-37	749488,2962084,749793,2962332
223-48	755438,2962850,755751,2963152
267E-279	750866,2967428,751262,2967716
70-22	765300,2957283,765624,2957680
227-114	756331,2964490,756672,2964789
35-39	767724,2960860,768018,2961124
91-91	763880,2958312,764170,2958589
34-127	767461,2960666,767750,2960934
198-46	757025,2967732,757292,2968014
203A-4	755318,2967006,755618,2967317
77-36	765288,2959523,765552,2959787
194-47	755368,2968107,755671,2968360
267B-195	748602,2968290,748908,2968561
193-176	755326,2969191,755573,2969466
40-59	766446,2959452,766689,2959709
179-12	758994,2967423,759271,2967699
121-46	760578,2959441,760875,2959765
97-132	761624,2955667,761918,2955958
183-42	756642,2969622,756934,2969906
22-115	768965,2960796,769226,2961104
193-191	754613,2969128,754934,2969383
99-24	760885,2955350,761185,2955659
---	755706,2963998,755986,2964323
106-108	762717,2957827,763059,2958167
154-64	758945,2965432,759229,2965676
268A-40	753884,2967742,754506,2968810
134-51	760708,2960397,760980,2960652
125-96	762008,2957996,762306,2958274
195-148	755659,2967768,755969,2968013
271-16	754832,2967059,755204,2967422
19-23	769547,2959879,770073,2960324
36-151	767405,2961111,767706,2961386
156-86	759003,2964067,759315,2964420
127-149	760891,2957155,761145,2957414
184-56	755981,2970815,756242,2971077
103-101	762124,2956972,762426,2957280
201.5-75	756904,2965834,757200,2966102
113-28	763045,2961093,763329,2961365
108-94	763120,2959667,763416,2959998
195-117	756135,2968301,756378,2968568
23-9	768663,2960753,768929,2961002
74-133	765046,2958467,765349,2958708
228-51	755873,2965386,756118,2965635
---	768433,2960788,768655,2961042
200-16	757667,2967371,757955,2967646
47-83	768164,2956425,768683,2956946
21-3	769207,2960643,769454,2960880
210-69	757582,2965556,757852,2965855
155-2	759077,2964858,759343,2965174
160-36	759244,2960757,759528,2961019
69-163	764457,2957140,764725,2957414
121-105	760635,2959276,760903,2959526
218-39	756360,2962681,756681,2963025
186-25	754766,2971042,755050,2971341
102-17	761417,2955641,761746,2955979
76-22	765579,2958944,765848,2959213
84-44	764654,2960760,764930,2961049
94-114	762470,2956334,762743,2956612
87-134	764212,2960311,764481,2960569
102-65	761764,2956105,762092,2956416
25-47	768655,2960066,768922,2960303
125-40	761831,2958019,762069,2958323
151-104	759911,2965071,760191,2965317
233-141	754316,2964334,754601,2964590
105-74	762904,2958319,763201,2958622
127-11	760804,2956576,761095,2956870
103-92	762359,2956827,762665,2957116
263-52	754734,2964957,755031,2965266
86-111	764861,2960151,765145,2960455
100-29	760622,2955842,760929,2956160
257-19	749079,2963245,749346,2963543
101-105	761257,2956660,761551,2956961
269-117	754086,2969861,754389,2970201
195-104	755961,2967555,756215,2967848
151-95	760265,2965044,760511,2965297
197-4	756261,2967846,756854,2968521
173-71	758608,2963636,758926,2964030
193-215	754905,2968811,755163,2969050
176-7	758261,2965763,758538,2966111
262-85	754739,2965508,755037,2965795
105-129	762438,2958105,762665,2958342
202-123	756790,2966469,757049,2966720
209-64	757091,2965379,757496,2965720
104-42	761499,2957062,761800,2957370
142-154	761375,2962628,761640,2962855
199-185	757170,2967101,757456,2967435
193-43	754742,2968883,755063,2969135
271-73	755219,2967153,755479,2967420
220-163	756195,2962324,756554,2962683
23-131	768578,2960462,768826,2960745
267B-207	748972,2968505,749295,2968794
189-29	754614,2970844,754916,2971087
176-25	758179,2965669,758460,2965952
153-35	759432,2965836,759789,2966115
121-102	760677,2959773,760979,2960107
192-96	755809,2968804,756160,2969170
207-63	756930,2965402,757242,2965757
261-130	753884,2965639,754163,2965946
153-58	759295,2965573,759578,2965871
109-30	763537,2960278,763835,2960549
172-105	758486,2963167,758739,2963407
24-20	769352,2959540,769633,2959801
267.3-280	749759,2968693,750174,2969176
267B-204	748874,2968377,749233,2968676
102-117	761697,2956069,761992,2956376
248-39	752439,2963748,752696,2964046
127-123	761066,2957359,761348,2957629
231-44	754981,2963322,755417,2963765
193-172	755307,2968641,755630,2968895
94-4	762652,2956313,762921,2956579
135-127	761628,2960824,761881,2961061
252-131	751444,2962348,751749,2962626
267E-283	750681,2967212,751089,2967709
220-61	756249,2962168,756533,2962423
126-28	760519,2957259,760792,2957527
242B-999	753885,2960958,754399,2961359
152-52	759161,2966574,759516,2966905
193-112	754892,2969208,755191,2969526
75-150	764527,2958325,764798,2958579
267B-13	748562,2968015,748869,2968276
112-143	762544,2960719,762802,2960981
140-133	762161,2962375,762409,2962670
104-98	762118,2957424,762390,2957692
135-138	761525,2960740,761764,2961000
194-16	755290,2967695,755586,2967971
223-17	755107,2962788,755442,2963100
255-114	749418,2961936,749625,2962156
127-96	761213,2957339,761484,2957605
101-54	761049,2956061,761419,2956417
166-27	757346,2961100,757630,2961376
156-30	759229,2964077,759500,2964408
201.5-80	757087,2966086,757356,2966388
172-16	758395,2963235,758683,2963621
175-91	758143,2965031,758447,2965346
43-70	767289,2957871,767867,2958327
189-4	754716,2970834,754996,2971155
86-103	764788,2960236,765067,2960541
104-52	761749,2957330,762019,2957611
64-RR1	761531,2953796,761972,2954181
248-70	752704,2964215,752969,2964507
54-28	763310,2954988,764026,2955576
136-23	760475,2961418,760781,2961723
234-131	753004,2964420,753366,2964708
188-147	754488,2970260,754761,2970543
190-205	754644,2969356,754887,2969635
271-3	755083,2967346,755357,2967588
22-70	768802,2960923,769065,2961158
41-34	766797,2958752,767029,2959001
89-63	764467,2958771,764734,2959058
196-129	756481,2968809,756827,2969149
104-35	761695,2956920,761977,2957214
226-50	755700,2964087,756026,2964404
135-106	761406,2960348,761752,2960754
167-21	757638,2961446,757923,2961746
225-19	756082,2963724,756389,2963991
126-159	760982,2957442,761265,2957737
232-67	754786,2963792,755088,2964045
182-6	756883,2969049,757189,2969365
101-80	761033,2956520,761357,2956847
199-111	757321,2967349,757596,2967629
149-101	760164,2964027,760475,2964332
141-40	762272,2962692,762535,2962951
112-15	762452,2961160,762736,2961454
106-12	762655,2957230,762928,2957506
267F-298	752053,2966805,752385,2967252
201.5-11	756776,2966108,757084,2966398
262-23	755011,2965741,755286,2966031
97-140	761906,2955906,762192,2956236
246A-7	753150,2961972,753355,2962192
140-76	761995,2962301,762255,2962547
183-96	756665,2969401,756949,2969690
222-19	755215,2962267,755567,2962598
200-65	757977,2967127,758280,2967406
194-51	755363,2968208,755667,2968459
154-76	759120,2965460,759372,2965752
80-11	765349,2960658,765657,2960929
195-130	755557,2967805,755804,2968086
194-80	755275,2968053,755573,2968307
122-202	761075,2958096,761335,2958403
204-139	756513,2966405,756809,2966679
132-112	760142,2959807,760398,2960083
151-87	759806,2965226,760108,2965503
39-162	767192,2960003,767438,2960294
124-9	761630,2958742,761901,2959029
37-55	767004,2960411,767304,2960696
78-38	765649,2959734,765980,2959997
114A-114	763300,2960861,763626,2961176
26-95	768541,2959388,768801,2959618
101-41	760957,2956321,761231,2956589
234-142	752864,2964353,753225,2964637
126-4A	760612,2957875,760827,2958174
181-56	758356,2967763,758656,2968058
262-66	754497,2965623,754781,2965918
263-106	754123,2964892,754427,2965177
177-37	758441,2966386,758709,2966720
21-115	769391,2960979,769629,2961264
149-121	760288,2964131,760574,2964391
269.5-A9	753066,2969302,753447,2969962
151-78	760210,2964967,760472,2965217
268B-34	753830,2968569,754087,2968839
271-74	755185,2967157,755435,2967464
182-77	757055,2969030,757334,2969306
200-98	757639,2966981,758037,2967250
134-28	760886,2960006,761245,2960336
17-80	769039,2959241,769295,2959515
75-91	764902,2958414,765223,2958740
262-59	754099,2965507,754382,2965815
196-14	756473,2969038,756764,2969331
202-17	756602,2966879,756919,2967221
185-56	754603,2971706,755022,2972560
21-XL	769286,2961093,769563,2961329
25-78	768764,2959799,769005,2960103
175-26	758411,2964830,758716,2965128
205-20	756027,2965651,756296,2965941
187-55	753728,2970582,754019,2970825
212-51	757966,2964463,758332,2964813
229-151	755828,2964836,756115,2965115
116-114	761385,2960179,761726,2960512
254-29	750313,2962424,750694,2962713
189-76	755355,2970236,755647,2970574
100-6	760540,2955633,760809,2955907
266-7	748152,2965200,748500,2965529
181-38	757717,2967900,758015,2968197
112-132	763047,2961350,763351,2961640
258-58	750236,2963109,750540,2963376
254-26	750286,2962568,750659,2962857
211-19	757578,2965278,757890,2965566
28-33	768405,2958525,769195,2959011
249-200	752191,2963230,752542,2963521
112-113	762560,2960471,762853,2960780
134-1	760059,2960555,760508,2960998
66-53	762632,2955350,762917,2955641
267A-244	748910,2968723,749191,2969044
66-99	763021,2955143,763406,2955603
79-117	765344,2960269,765644,2960533
108-70	762976,2960119,763222,2960386
102-118	761769,2956075,762059,2956355
151-71	760140,2965024,760387,2965289
189-31	754920,2970726,755207,2971032
229-40	755940,2964842,756260,2965144
221-35	755820,2961901,756089,2962146
233-95	753882,2964497,754199,2964767
93-105	763434,2957791,763692,2958057
150-124	759935,2964244,760200,2964533
191-32	755435,2969658,755701,2969888
21-42	769487,2960706,769742,2961007
226-46	755703,2964355,756037,2964658
---	761727,2962457,761950,2962735
134-46	760847,2960280,761206,2960628
104-153	761432,2956879,761693,2957141
175-64	758560,2965164,758830,2965503
231-25	754932,2963781,755216,2964040
267F-393	751983,2968014,752320,2968399
262-49	754244,2965742,754555,2966022
76-52	765534,2958722,765819,2959031
78-100	765891,2959580,766162,2959852
40-147	766557,2959572,766825,2959851
126-8	760455,2957804,760760,2958066
193-199	755293,2969140,755552,2969390
116-118	761970,2959749,762312,2960069
193-217	754623,2968881,754943,2969132
225-34	756268,2963564,756595,2963864
117-7	762100,2959667,762425,2959984
169-12	758410,2961514,758882,2961968
105-27	762466,2957785,762749,2958073
56-8	764907,2956296,765428,2956782
40-253	766155,2959173,766471,2959462
150-17	760370,2964591,760633,2964848
36-79	767112,2961215,767418,2961508
102-130	761427,2956115,761710,2956407
105-53	762438,2958105,762761,2958399
23-111	768836,2960399,769077,2960701
90-122	763551,2958768,763888,2959073
225-36	756153,2963575,756431,2963886
205-3	755863,2965805,756140,2966104
154-68	759114,2965387,759365,2965663
255-100	749232,2962201,750195,2963113
111-48	763505,2961466,763764,2961787
263-47	754541,2965072,754831,2965380
234-38	752950,2964608,753315,2964908
94-195	762307,2956570,762564,2956823
154-119	759188,2965364,759556,2965595
139-41	761633,2960976,761914,2961303
176-32	758389,2965477,758682,2965730
233-147	753712,2964085,753966,2964401
89-6	764160,2958572,764412,2958856
137-35	760358,2961644,760686,2962054
263-4	754085,2965280,754385,2965562
26-93	768587,2959320,768832,2959622
267D-311	750326,2967309,750618,2967671
233-201	753796,2964773,754091,2965029
261-196	754012,2965564,754294,2965846
154-40	759610,2965084,759867,2965407
201-77	757620,2966298,757933,2966615
246-1019	753523,2962170,753844,2962499
83-42	764732,2961548,764996,2961797
---	762987,2954241,763369,2954883
122-26	760914,2958161,761156,2958466
198-38	757086,2968072,757343,2968377
142-49	761282,2962446,761612,2962725
190-82	754989,2969816,755233,2970130
181-69	758272,2967938,758565,2968230
192-106	755921,2968800,756254,2969127
186-69	755242,2971039,755527,2971332
123-13	761503,2958148,761759,2958421
34-31	767944,2960435,768208,2960674
257-8	749878,2963174,750188,2963448
104-150	761768,2957469,762032,2957726
267D-334	749671,2967894,750143,2968247
214-37	757661,2963332,757997,2963652
192-78	756278,2969071,756605,2969411
251-49	751832,2963284,752132,2963603
194-64	755352,2968412,755596,2968702
106-57	762809,2957656,763112,2957966
190-24	755334,2969984,755604,2970223
200-13	757692,2967276,757956,2967551
52A-22	766908,2956794,767531,2957522
267D-325	750183,2967829,750599,2968159
168-38	757841,2961437,758173,2961770
248-76	752733,2964346,753027,2964609
220-164	756310,2962304,756601,2962617
175-89	758578,2964982,758854,2965251
101-120	761391,2956378,761697,2956687
42-11	766382,2958388,766774,2958785
102-100	761299,2955636,761587,2955917
256-103	749789,2963017,750094,2963345
262-86	754795,2965493,755082,2965787
214-28	757842,2963535,758094,2963826
179-81	758765,2967031,759048,2967316
121-50	760575,2959322,760834,2959608
153-77	759069,2965592,759325,2965845
91-9	764170,2958243,764442,2958510
247-211	752655,2963334,752992,2963615
86-40	764857,2959636,765108,2959888
192-151	755988,2969024,756418,2969446
124-28	761722,2958378,761998,2958616
39-32	766747,2959975,767018,2960285
123-51	761218,2958546,761522,2958794
223-11	755201,2962924,755531,2963232
34-3	767636,2960635,767871,2960902
201-92	757797,2966451,758066,2966746
267.1-240	749528,2970024,750281,2970265
98-44	761242,2954816,761531,2955099
267A-258	749325,2968887,749637,2969154
67-49	763642,2955808,764302,2956325
101-117	761117,2956355,761411,2956635
230-44	755265,2964644,755549,2964950
253-85	750577,2962950,750849,2963300
40-85	766143,2959739,766431,2960003
250-211	752202,2962705,752503,2963003
186-24	754772,2971118,755072,2971399
184-192	755389,2970588,755895,2971148
191-1	755437,2970046,755701,2970287
84-105	764323,2961133,764585,2961463
101-145	760739,2956074,761009,2956340
214-65	757890,2963554,758140,2963843
192-6	755677,2969101,755963,2969353
132-24	760127,2959931,760409,2960209
191-36	755433,2969770,755691,2969999
63-118	762289,2954016,762695,2954481
22-71	768806,2960949,769070,2961183
185-31	754948,2971373,755243,2971686
39-144	767097,2959770,767342,2960066
96-7	762001,2955149,762335,2955520
139-30	761800,2960962,762074,2961213
109-2	763669,2960296,764039,2960655
25-98	768517,2959836,768771,2960092
220-17	755940,2962028,756220,2962275
110-67	764020,2960338,764379,2960691
220-108	756506,2962305,756817,2962583
17-79	769051,2959295,769301,2959549
169-102	758732,2961332,759167,2961677
263-56	754646,2964892,754934,2965201
115-112	761911,2960321,762204,2960624
162-4	758676,2960775,758971,2961089
233-61	754131,2964416,754417,2964679
267C-65	749539,2968373,749817,2968730
271-39	755042,2967187,755294,2967492
94-217	762873,2956878,763288,2957228
170-34	757617,2962466,757957,2962806
86-14	764733,2960080,765040,2960364
190-164	754928,2969855,755191,2970135
267F-299	751934,2966843,752258,2967247
183-72	756681,2969225,756987,2969543
32-45	767974,2959546,768213,2959830
199-15	757117,2967586,757399,2967867
181-196	757539,2968071,757812,2968352
105-77	762636,2958381,762978,2958723
156-31	759291,2964075,759536,2964405
193-145	755178,2968984,755500,2969238
156-25	758864,2964344,759236,2964636
126-83	761175,2957862,761460,2958099
127-124	761101,2957324,761362,2957580
40-132	766372,2959474,766616,2959738
262-69	754510,2965544,754818,2965826
101-44	760821,2956311,761127,2956623
229-144	756001,2965014,756278,2965296
101-151	760973,2956192,761273,2956501
107-121	763415,2959297,763856,2959673
139-93	762138,2961179,762440,2961454
262-151	754619,2965870,754875,2966200
192-143	756098,2968891,756387,2969189
196-71	756313,2968345,756595,2968650
99-18	760733,2955040,761032,2955349
191-57	755612,2969616,755882,2969852
258-65	750395,2963247,750664,2963566
84-48	764607,2960615,764894,2960898
139-1	761559,2960990,761863,2961298
196-45	756755,2968455,757073,2968787
154-83	759185,2965124,759434,2965416
211-54	757770,2965341,758140,2965673
59-41	764833,2954944,765067,2955207
109-13	763670,2960158,763943,2960414
155-10	759575,2964831,759841,2965146
113-57	763307,2961229,763598,2961529
113-10	763057,2960785,763430,2961160
254-20	750236,2962814,750522,2963086
262-35	755072,2965644,755377,2965929
215-26	757241,2963370,757552,2963708
114-94	763316,2960152,763636,2960463
74-5	764943,2957714,765191,2957975
79-92	765474,2959691,765736,2960020
43A-16	766150,2957412,767169,2958333
104-86	761894,2957606,762183,2957899
221-49	755524,2961745,755780,2962063
36-86	767296,2961143,767569,2961384
93-98	763112,2957422,763406,2957724
36-258	766830,2961389,767073,2961678
112-94	762913,2961418,763195,2961699
139-45	761989,2961074,762266,2961329
190-263	755275,2969689,755536,2969940
178-21	758475,2966915,758901,2967255
76-54	765627,2958733,765886,2958994
210-70	757611,2965569,757886,2965875
78-52	765628,2959619,765909,2959903
176-3	757954,2965701,758306,2966059
153-87	759422,2965703,759778,2965991
220-122	755956,2962206,756231,2962469
26-59	768909,2959544,769178,2959784
263-111	754538,2964694,754864,2965010
253-79	750852,2962925,751166,2963193
140-145	761583,2962119,761844,2962400
192-140	755988,2969254,756311,2969590
156-88	759443,2963931,759743,2964268
127-71	760868,2957255,761159,2957537
127-139	761360,2957215,761620,2957477
---	768496,2959732,768746,2959943
124-76	761762,2958180,762007,2958483
